Post_ID,Timestamp,Platform,Content_Type,Category,Likes,Comments,Shares,Views,Saves,Follower_Count,Engagement_Rate,Hour_of_Day,Day_of_Week,Hashtag_Count,Content_Length,Sentiment,Influencer_Tier,Has_Media,Is_Verified,Platform_Code,Content_Type_Code
POST_04552,2024-01-01 01:42:00,Instagram,Carousel,Business,8287,247,51,29502,20,0.4457229726481758,3.85,0.043478260869565216,Monday,16,0.4889112903225806,Positive,Macro,True,False,1,1
POST_02171,2024-01-01 05:05:00,LinkedIn,Document,Health,1711,27,247,24538,139,0.6251181720585173,0.63,0.21739130434782608,Monday,9,0.3084677419354839,Negative,Macro,False,True,2,3
POST_00210,2024-01-01 09:18:00,Instagram,Carousel,Food,1527,191,7,5460,359,0.4410301398836706,0.78,0.3913043478260869,Monday,27,0.03225806451612903,Positive,Macro,True,True,1,1
POST_01548,2024-01-01 10:58:00,Facebook,Video,Sports,535,178,433,68246,740,0.8580332964796745,0.27,0.43478260869565216,Monday,17,0.2716733870967742,Neutral,Macro,True,False,0,16
POST_01350,2024-01-01 13:12:00,Instagram,Photo,Fitness,9706,35,118,25782,611,0.12786817606434972,15.31,0.5652173913043478,Monday,5,0.5650201612903225,Positive,Mid-tier,True,False,1,6
POST_01582,2024-01-02 01:24:00,Twitter,Poll,Sports,3767,83,522,59434,242,0.8439147398612381,1.04,0.043478260869565216,Tuesday,19,0.8044354838709677,Negative,Macro,True,False,4,7
POST_02656,2024-01-02 03:01:00,Twitter,Poll,Lifestyle,1558,71,676,45929,92,0.5182185261741096,0.89,0.13043478260869565,Tuesday,25,0.7011088709677419,Negative,Macro,True,False,4,7
POST_00196,2024-01-02 16:59:00,Twitter,Thread,Education,599,222,787,68904,314,0.0609347209537086,5.19,0.6956521739130435,Tuesday,1,0.1935483870967742,Negative,Micro,True,False,4,14
POST_00749,2024-01-02 19:22:00,YouTube,Live,Food,6062,754,540,947740,1640,0.7915885529330706,1.86,0.8260869565217391,Tuesday,22,0.047379032258064516,Neutral,Macro,False,False,5,5
POST_03049,2024-01-02 20:04:00,Twitter,Thread,Travel,597,22,339,67556,74,0.9579567850790752,0.2,0.8695652173913043,Tuesday,22,0.720766129032258,Neutral,Macro,True,True,4,14
POST_04605,2024-01-02 20:22:00,TikTok,Video,Travel,18977,966,2147,8088,2235,0.48177947090964446,9.16,0.8695652173913043,Tuesday,5,0.1784274193548387,Negative,Macro,False,False,3,16
POST_02119,2024-01-02 21:41:00,Instagram,Carousel,Entertainment,1874,467,16,30977,688,0.13403715810219682,3.49,0.9130434782608695,Tuesday,11,0.7273185483870968,Positive,Mid-tier,True,True,1,1
POST_00401,2024-01-02 21:55:00,Instagram,Photo,Business,1867,125,281,44911,286,0.5843608293675593,0.78,0.9130434782608695,Tuesday,6,0.6285282258064516,Negative,Macro,True,False,1,6
POST_01803,2024-01-03 00:42:00,Twitter,Poll,Sports,4926,205,1317,28491,466,0.29666394270057206,4.34,0.0,Wednesday,7,0.7973790322580645,Neutral,Macro,True,False,4,7
POST_03737,2024-01-03 03:35:00,LinkedIn,Poll,Lifestyle,1383,123,32,6603,59,0.38070430546876255,0.81,0.13043478260869565,Wednesday,13,0.7515120967741935,Neutral,Macro,False,False,2,7
POST_03162,2024-01-03 04:16:00,Instagram,Reel,Education,8387,360,179,13360,945,0.9999098687689277,1.79,0.17391304347826086,Wednesday,20,0.07913306451612903,Neutral,Macro,True,False,1,9
POST_00426,2024-01-03 09:46:00,Facebook,Video,Sports,5540,375,632,73879,402,0.9754923168132803,1.34,0.3913043478260869,Wednesday,15,0.17036290322580644,Neutral,Macro,True,False,0,16
POST_00363,2024-01-03 13:28:00,Facebook,Post,Technology,1048,256,457,75334,393,0.057069092598823895,6.06,0.5652173913043478,Wednesday,29,0.8578629032258064,Negative,Micro,True,False,0,8
POST_01038,2024-01-04 00:19:00,LinkedIn,Post,Technology,1708,113,456,26761,259,0.8056109695716965,0.57,0.0,Thursday,19,0.37752016129032256,Positive,Macro,True,True,2,8
POST_04592,2024-01-04 05:36:00,Instagram,Story,Technology,6145,224,238,45738,517,0.4913714368119983,2.69,0.21739130434782608,Thursday,15,0.9773185483870968,Positive,Macro,True,False,1,13
POST_00159,2024-01-04 10:49:00,Instagram,Story,Fitness,4399,125,33,21640,787,0.8610797320899231,1.06,0.43478260869565216,Thursday,26,0.5287298387096774,Neutral,Macro,True,False,1,13
POST_02919,2024-01-04 12:44:00,Twitter,Thread,Fitness,2837,260,1505,47775,332,0.24091477190789792,3.81,0.5217391304347826,Thursday,21,0.43598790322580644,Neutral,Macro,True,True,4,14
POST_02915,2024-01-04 16:45:00,Instagram,Reel,Food,1974,308,125,21531,662,0.4037538656283549,1.19,0.6956521739130435,Thursday,20,0.08064516129032256,Positive,Macro,True,False,1,9
POST_04272,2024-01-04 20:52:00,YouTube,Live,Travel,19612,881,609,22497,3392,0.7296864234325179,5.78,0.8695652173913043,Thursday,15,0.08568548387096775,Positive,Macro,True,False,5,5
POST_01023,2024-01-04 23:13:00,YouTube,Video,Gaming,6523,343,247,886932,98,0.9766479994872536,1.46,1.0,Thursday,29,0.00252016129032258,Neutral,Macro,True,False,5,16
POST_02704,2024-01-05 09:59:00,Instagram,Reel,Food,6327,440,130,935,289,0.2801899565767758,4.91,0.3913043478260869,Friday,8,0.28881048387096775,Neutral,Macro,True,True,1,9
POST_02032,2024-01-05 10:15:00,Facebook,Story,Lifestyle,2672,360,464,2203,659,0.005688282138794084,103.34,0.43478260869565216,Friday,17,0.23639112903225806,Neutral,Nano,True,False,0,13
POST_01750,2024-01-05 14:17:00,Instagram,Carousel,Fitness,1687,73,134,41648,732,0.23417495873992536,1.61,0.6086956521739131,Friday,11,0.8986895161290323,Positive,Macro,True,False,1,1
POST_03565,2024-01-06 12:07:00,Facebook,Live,Business,1784,227,117,77227,192,0.8283200339694596,0.51,0.5217391304347826,Saturday,27,0.2565524193548387,Neutral,Macro,True,True,0,5
POST_03697,2024-01-06 14:21:00,YouTube,Short,Lifestyle,9264,590,1840,720597,1210,0.15899149161178677,14.63,0.6086956521739131,Saturday,1,0.2777217741935484,Neutral,Mid-tier,True,True,5,11
POST_04392,2024-01-06 17:28:00,Facebook,Post,Lifestyle,6896,135,201,65197,354,0.7475564421798139,1.93,0.7391304347826086,Saturday,22,0.9899193548387096,Positive,Macro,False,True,0,8
POST_02615,2024-01-06 19:56:00,Twitter,Tweet,Fashion,156,131,1223,75745,121,0.9990225768719257,0.3,0.8260869565217391,Saturday,13,0.30594758064516125,Neutral,Macro,True,False,4,15
